merchant,category,amt,city,state,lat,long,city_pop,job,merch_lat,merch_long,is_fraud
"Labadie, Treutel and Bode",shopping_net,1055.28,Honokaa,HI,20.0827,-155.488,4878,Physiotherapist,20.263798,-155.011675,1
Gerhold LLC,home,97.76,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,39.375777,-92.915069,0
"Lakin, Ferry and Beatty",food_dining,127.17,Sutherland,NE,41.1558,-101.136,1789,Insurance broker,41.550923,-100.194191,1
Cummings LLC,gas_transport,11.74,Fort Washakie,WY,43.0048,-108.8964,1645,Information systems manager,42.656763,-109.86824,1
Kuhic LLC,shopping_net,963.01,Westfir,OR,43.7575,-122.481,597,Forensic psychologist,42.855154,-121.490318,1
Flatley-Durgan,misc_net,718.05,Jordan Valley,OR,42.8801,-117.281,641,Economist,42.13899,-117.601954,1
Terry-Huel,shopping_net,1136.04,Kaktovik,AK,66.6933,-153.994,239,Careers information officer,66.18018599999999,-154.53907,1
"Tillman, Fritsch and Schmitt",misc_net,759.92,High Rolls Mountain Park,NM,32.9396,-105.8189,899,Naval architect,32.802203000000006,-105.179331,1
Ruecker Group,misc_net,719.82,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,39.951004,-92.359492,1
Heidenreich PLC,grocery_pos,291.1,Jordan Valley,OR,42.8801,-117.281,641,Economist,42.247169,-117.409736,1
Kiehn-Emmerich,grocery_pos,285.81,Hubbell,NE,40.0456,-97.4735,121,Set designer,40.990782,-97.605382,1
Crona and Sons,kids_pets,14.13,Phoenix,AZ,33.5623,-112.0559,1312922,Contractor,34.537409999999994,-112.684354,0
Lebsack and Sons,misc_net,4.7,North Loup,NE,41.4972,-98.7858,509,"Nurse, children's",41.685814,-99.667058,0
