age,education_level,university_tier,cgpa,internships,projects,programming_languages,certifications,experience_years,hackathons,research_papers,skills_score,hired,soft_skills_score,resume_length_words,company_type
34,0,0,7.28,1,3,3,0,1.72,1,1,13.0,1,6.56,447,1
28,1,1,7.7,2,1,5,1,0.07,0,0,13.5,0,9.35,315,1
25,0,1,8.33,3,2,1,1,1.21,0,1,7.5,1,4.75,503,2
33,0,2,7.82,1,3,5,2,0.02,1,1,20.0,0,5.87,583,0
22,0,2,7.22,3,5,5,2,1.54,0,0,23.0,1,8.29,552,2
25,0,2,8.05,0,2,2,0,0.22,0,0,8.0,1,4.6,446,0
28,0,1,7.98,2,7,4,0,1.32,0,1,22.0,0,3.54,422,1
30,0,2,6.36,4,3,4,1,1.37,1,0,16.5,1,5.03,372,0
29,0,2,7.73,1,3,3,3,1.08,0,0,16.5,0,4.13,332,1
32,0,1,7.06,2,0,2,0,0.8,0,0,4.0,1,9.51,528,1
32,2,0,7.48,0,0,3,1,0.1,1,0,8.5,1,8.66,480,1
32,0,2,6.79,1,4,2,0,0.77,0,0,12.0,1,7.43,409,0
33,1,0,8.36,2,8,5,1,1.33,2,0,29.5,1,9.1,509,1
29,2,1,7.82,2,4,1,1,2.82,2,0,13.5,1,8.63,528,1
33,1,1,7.16,0,3,1,0,1.82,0,0,8.0,1,4.31,671,2
33,2,1,8.2,1,2,5,3,1.32,0,0,18.5,0,9.25,272,2
21,1,0,8.35,0,2,3,0,0.69,0,0,10.0,1,6.78,339,0
29,0,1,7.6,1,3,1,0,0.23,0,0,8.0,1,8.65,788,2
27,0,1,6.69,1,2,4,0,4.16,1,0,13.0,1,9.27,441,0
29,1,1,6.73,2,3,5,0,1.44,0,0,16.0,0,5.23,481,2
28,0,0,7.41,1,4,1,3,3.53,0,0,14.5,1,3.77,499,1
21,0,2,5.91,0,1,5,1,6.77,0,0,13.5,1,4.6,362,2
32,0,0,8.23,0,3,3,0,0.15,1,0,13.0,1,5.99,371,1
28,1,1,8.81,2,1,2,1,4.44,0,0,7.5,0,8.73,360,0
28,1,1,7.86,4,2,5,0,5.97,1,0,15.0,1,9.03,254,2
31,1,1,6.91,1,3,5,0,0.18,2,0,18.0,1,3.05,574,2
23,0,2,7.29,2,1,1,1,1.14,0,0,5.5,1,6.58,650,1
21,0,1,7.83,0,1,2,0,1.06,0,0,6.0,0,5.92,368,1
28,2,2,7.8,1,8,4,2,1.37,2,0,29.0,1,4.55,629,2
23,1,1,6.66,4,2,1,2,0.34,2,0,11.0,0,3.84,510,0
23,1,2,8.82,1,1,1,1,2.13,0,0,5.5,1,5.36,636,2
21,0,1,8.18,3,4,2,0,2.14,1,1,13.0,0,9.6,502,0
31,0,1,6.95,1,2,4,1,0.32,0,0,13.5,0,5.26,569,1
25,1,2,9.08,0,0,5,0,0.49,0,1,10.0,1,6.63,511,0
30,0,1,8.05,1,2,3,1,1.12,0,0,11.5,1,7.92,375,0
27,1,2,6.93,1,1,3,1,0.03,1,0,10.5,1,5.55,490,2
30,0,1,7.42,0,2,1,3,0.36,1,0,11.5,1,9.8,511,0
29,0,1,6.95,1,3,2,2,2.3,0,0,13.0,1,9.74,633,0
32,0,1,8.59,1,1,4,1,6.67,3,0,14.5,1,4.76,514,1
27,1,0,7.79,2,4,5,1,1.25,0,0,19.5,0,6.48,334,2
29,0,2,8.17,1,2,1,0,0.24,0,1,6.0,1,5.11,406,0
28,0,1,8.43,2,3,1,1,4.01,1,0,10.5,1,4.99,556,2
32,0,1,7.52,2,2,3,0,1.23,3,0,13.0,1,3.26,402,0
22,0,1,7.73,0,6,4,1,0.4,1,1,22.5,0,7.27,437,1
21,0,1,6.41,1,7,5,0,0.33,0,0,24.0,0,6.52,466,2
27,0,0,8.31,0,2,3,3,0.08,0,0,14.5,1,3.36,246,0
27,0,1,8.43,1,2,3,2,0.92,3,0,16.0,0,4.95,489,0
34,1,0,8.25,2,2,2,2,1.12,0,0,11.0,1,9.36,619,0
28,1,0,7.91,2,3,4,1,0.15,0,0,15.5,1,4.68,179,0
25,0,1,6.95,1,1,2,1,0.3,1,0,8.5,1,4.01,426,0
23,1,0,8.48,2,3,1,2,5.59,1,0,12.0,1,6.43,293,2
32,0,0,8.64,0,0,3,1,0.17,1,0,8.5,1,9.9,470,0
28,0,2,7.97,1,2,4,1,1.84,0,0,13.5,1,4.69,473,0
26,0,2,7.45,3,2,2,0,3.13,0,0,8.0,1,7.7,490,0
31,1,1,7.42,1,6,2,3,3.33,0,0,20.5,1,8.33,523,0
23,0,2,7.85,4,5,4,0,0.12,0,0,18.0,0,4.66,384,2
21,1,0,7.12,2,2,4,0,5.58,0,0,12.0,1,8.1,281,0
23,1,0,5.78,3,1,4,0,0.64,1,0,11.0,1,5.57,419,2
25,0,2,6.98,0,3,5,2,1.87,0,0,19.0,1,7.43,353,0
34,1,2,6.55,2,4,5,0,0.3,2,0,20.0,1,7.43,451,0
23,1,1,7.49,1,3,4,0,1.13,0,0,14.0,1,6.75,431,1
21,0,0,7.48,2,5,3,1,0.67,0,0,17.5,1,3.63,367,2
25,0,0,8.0,2,3,5,1,2.57,0,1,17.5,1,8.85,465,1
30,1,0,7.86,0,4,1,1,0.86,1,0,12.5,0,5.25,581,1
27,1,2,8.48,0,1,2,2,4.09,0,0,9.0,1,4.31,594,1
34,1,2,7.4,3,1,4,1,1.55,1,0,12.5,1,3.29,442,0
27,0,2,7.1,3,3,4,0,1.39,2,0,16.0,1,7.14,552,1
31,0,1,8.46,0,3,5,1,2.27,0,0,17.5,1,7.74,232,2
29,0,0,8.1,2,3,3,0,0.87,0,1,12.0,1,3.12,369,2
30,0,0,6.67,0,4,5,2,3.55,0,0,21.0,1,6.58,77,1
30,1,1,7.43,0,3,3,2,3.21,0,0,15.0,1,4.59,301,1
32,0,0,7.64,1,3,1,2,1.21,0,1,11.0,1,7.52,499,0
33,0,2,7.71,3,4,2,1,0.42,1,0,14.5,1,4.22,394,0
23,2,0,7.23,1,3,1,0,0.14,1,0,9.0,1,7.84,275,0
27,0,2,7.37,2,2,3,0,0.59,0,0,10.0,1,5.71,500,0
21,1,0,8.16,0,3,5,1,1.44,0,0,17.5,0,9.56,386,1
24,0,1,7.62,2,1,3,0,6.93,0,1,8.0,0,3.96,601,0
33,0,1,5.45,3,3,2,0,8.0,1,0,11.0,1,5.39,170,2
24,0,0,7.03,3,2,2,0,0.76,1,0,9.0,0,3.79,535,0
34,0,0,7.01,4,2,5,0,0.36,0,0,14.0,0,9.47,759,0
25,0,0,5.84,3,1,2,4,0.16,1,0,13.0,1,9.14,747,0
27,0,0,8.97,3,2,5,0,0.71,1,1,15.0,0,4.81,539,1
27,1,0,7.37,3,9,1,1,1.15,0,0,21.5,0,7.62,592,1
33,0,1,6.31,2,5,2,2,0.25,0,1,17.0,0,8.72,423,2
31,0,2,7.94,1,3,5,1,1.29,0,1,17.5,0,6.89,394,1
33,0,0,6.77,0,1,5,0,1.7,1,1,13.0,1,6.71,433,2
24,0,2,8.76,0,3,1,1,2.49,0,0,9.5,1,4.69,352,2
33,1,0,8.65,0,2,5,0,4.59,0,0,14.0,1,3.65,184,0
27,1,1,8.2,2,5,1,0,0.44,1,0,13.0,1,9.28,419,2
31,0,1,6.82,0,2,5,1,0.45,0,0,15.5,0,9.3,395,0
23,2,2,7.9,0,4,5,1,1.53,1,0,20.5,1,7.43,315,0
26,0,0,8.93,3,6,1,0,3.38,0,0,14.0,0,5.37,362,0
32,0,2,7.23,1,4,5,1,1.4,0,0,19.5,0,5.44,494,0
22,1,0,7.78,2,5,4,1,0.48,0,0,19.5,0,8.08,678,2
30,0,0,7.77,5,2,4,0,2.55,0,0,12.0,0,9.28,478,1
33,0,0,8.21,0,1,1,0,0.43,1,0,5.0,1,9.21,446,0
34,1,1,7.4,1,4,3,1,0.38,1,0,16.5,0,8.46,446,1
29,1,0,7.63,1,0,4,1,3.34,0,0,9.5,1,7.49,480,0
25,1,0,6.82,1,6,1,0,2.44,1,1,15.0,1,3.59,412,0
26,0,1,8.49,0,2,1,1,0.43,0,1,7.5,1,4.13,451,2
32,1,1,8.19,1,4,2,1,1.02,0,1,13.5,1,9.29,339,1
32,1,2,7.73,0,0,1,0,0.1,0,1,2.0,0,7.25,470,0
32,0,1,7.84,5,1,5,0,0.82,1,0,13.0,1,3.06,565,2
32,0,0,6.84,1,3,2,1,0.77,0,0,11.5,1,3.71,364,0
24,0,1,8.32,4,8,4,1,2.65,0,0,25.5,1,7.64,196,1
34,0,2,8.58,4,2,2,1,0.88,2,0,11.5,1,3.04,450,0
34,0,0,8.06,1,3,4,1,4.27,0,0,15.5,1,4.13,394,1
31,0,0,7.52,2,5,2,3,1.36,0,0,18.5,1,6.84,447,0
30,1,1,7.99,0,3,4,1,0.7,3,0,18.5,0,7.84,357,1
27,0,1,7.88,2,5,3,0,0.36,0,0,16.0,0,7.56,472,0
32,0,1,7.18,1,3,3,0,3.64,0,0,12.0,1,4.57,345,0
29,1,0,8.55,0,6,3,0,3.15,0,0,18.0,1,7.99,685,1
27,0,2,7.63,1,0,1,0,5.08,0,0,2.0,1,4.66,391,1
34,1,1,7.59,0,3,1,4,2.66,1,0,15.0,0,5.28,104,2
21,1,1,7.75,1,2,4,1,0.78,0,0,13.5,1,8.23,484,1
21,0,0,6.76,2,2,2,1,2.91,0,0,9.5,1,7.55,382,0
29,0,2,7.08,2,2,4,0,0.38,0,0,12.0,0,8.94,427,0
31,0,2,7.73,3,4,5,2,6.18,0,0,21.0,1,7.6,339,1
34,0,2,7.21,0,1,3,1,1.56,0,1,9.5,1,6.98,514,2
29,0,2,8.08,2,0,5,0,1.65,0,0,10.0,1,3.66,384,0
24,0,1,7.89,0,6,4,1,1.12,0,0,21.5,0,5.57,568,2
33,2,1,7.61,1,4,5,1,0.84,0,0,19.5,0,4.86,632,0
29,1,2,8.16,1,1,4,1,0.24,0,0,11.5,0,4.71,416,1
23,0,2,6.86,4,3,3,1,0.53,0,0,13.5,1,9.81,212,1
27,0,0,7.66,1,1,5,0,0.88,0,0,12.0,1,5.75,501,2
26,0,0,7.7,0,2,4,0,0.94,0,1,12.0,1,9.24,231,2
28,0,1,8.39,0,4,2,0,3.18,1,0,13.0,1,7.42,392,0
31,0,0,6.35,3,3,4,1,0.46,1,1,16.5,1,8.56,559,2
29,1,2,7.08,1,4,4,1,0.13,0,1,17.5,1,6.52,461,1
34,0,1,9.16,0,3,4,1,0.78,0,0,15.5,1,7.04,288,0
25,1,2,6.08,1,3,4,1,3.6,0,0,15.5,1,6.45,364,2
21,0,1,8.07,2,2,5,0,0.08,0,0,14.0,0,4.37,383,1
23,1,1,8.29,1,2,3,0,1.46,0,0,10.0,0,8.06,355,0
30,0,0,7.37,3,3,3,0,0.48,1,0,13.0,0,4.97,503,2
32,0,2,6.27,2,3,3,0,0.29,2,0,14.0,0,3.17,459,1
28,0,1,7.4,1,1,1,1,1.09,0,0,5.5,0,7.52,289,2
31,1,2,8.18,1,4,4,1,0.28,0,1,17.5,1,4.24,192,2
26,0,0,8.29,4,2,1,1,0.45,1,0,8.5,0,9.58,511,1
28,2,1,6.45,2,1,3,0,0.57,0,1,8.0,1,9.68,436,1
29,0,2,8.55,1,1,1,1,0.33,0,1,5.5,1,9.4,402,0
24,0,2,6.9,1,5,4,1,3.97,0,0,19.5,1,5.59,359,0
21,1,1,7.71,1,4,3,0,2.94,2,0,16.0,1,3.11,442,0
34,1,1,6.91,3,6,4,1,5.9,0,0,21.5,1,9.5,427,0
21,0,0,6.37,1,3,2,1,0.71,0,0,11.5,1,6.0,337,0
30,0,1,8.4,1,2,5,3,0.04,0,1,18.5,0,9.77,352,2
24,0,0,7.48,1,2,5,1,0.08,0,0,15.5,0,9.75,368,0
32,1,1,9.43,5,3,4,0,0.21,0,1,14.0,1,8.97,314,0
34,0,0,6.39,1,3,3,1,4.46,0,0,13.5,1,5.06,461,0
27,0,1,5.7,1,2,5,2,1.27,0,0,17.0,1,5.7,474,1
22,1,2,7.98,0,3,1,0,0.6,1,0,9.0,1,8.96,488,0
23,1,2,5.0,3,1,2,0,0.91,0,0,6.0,0,5.22,292,1
21,0,1,7.82,3,1,5,1,1.0,1,0,14.5,0,4.19,220,1
25,0,0,7.76,1,2,2,1,3.61,1,0,10.5,1,6.9,486,0
21,1,0,8.03,0,3,5,1,2.43,0,0,17.5,0,9.55,566,2
28,1,1,7.66,2,3,1,0,1.41,1,0,9.0,0,7.87,176,0
21,0,1,9.35,2,4,1,1,0.5,1,0,12.5,1,6.99,550,1
31,1,0,7.48,1,3,4,0,2.68,0,0,14.0,1,3.68,445,0
21,0,1,7.54,1,0,3,1,0.96,1,0,8.5,0,7.31,686,0
22,0,1,6.2,1,2,4,0,1.97,0,0,12.0,1,9.93,493,2
22,1,2,8.71,0,0,5,3,3.15,0,0,14.5,1,3.98,197,1
32,1,1,7.69,1,2,4,2,3.54,0,0,15.0,1,6.63,600,1
26,0,1,6.36,0,3,5,2,0.69,0,0,19.0,1,9.14,369,0
27,1,2,6.8,3,7,3,0,0.06,0,0,20.0,1,8.19,486,0
25,0,2,6.56,2,3,2,0,3.56,1,0,11.0,0,7.88,459,2
21,1,1,8.7,2,2,3,2,1.07,0,0,13.0,0,7.92,496,0
21,0,1,7.0,2,2,1,3,0.67,2,0,12.5,1,5.52,634,2
23,0,2,8.19,0,5,2,1,0.48,1,0,16.5,1,5.06,459,1
34,1,0,8.36,0,1,2,0,0.45,0,0,6.0,1,8.67,633,0
22,0,0,7.83,2,4,3,1,2.63,2,0,17.5,1,8.67,385,2
25,1,0,8.32,1,2,3,3,0.31,0,0,14.5,1,9.07,476,2
32,1,2,9.32,0,1,3,0,0.83,0,1,8.0,1,9.39,620,0
30,1,2,9.16,0,5,5,1,0.4,1,1,22.5,1,6.58,481,2
26,0,0,8.24,2,2,3,0,3.07,1,0,11.0,1,6.51,612,0
27,0,2,7.05,2,0,4,0,3.37,1,0,9.0,1,8.59,378,2
24,0,0,7.51,0,1,2,0,0.97,1,0,7.0,1,7.55,423,0
27,1,1,6.55,1,2,4,4,0.43,0,0,18.0,1,7.91,582,0
31,0,2,6.71,0,4,4,0,0.84,0,0,16.0,1,8.57,593,2
28,0,0,7.49,0,2,5,0,5.58,0,0,14.0,1,9.23,562,1
31,1,0,6.29,1,2,5,1,0.28,0,0,15.5,0,5.37,554,1
21,0,0,7.68,2,8,1,2,4.32,2,0,23.0,1,5.63,475,0
26,0,0,7.6,3,2,5,5,1.0,0,0,21.5,0,3.66,314,2
28,0,0,7.84,2,1,5,0,0.78,0,0,12.0,1,7.05,376,2
25,0,1,7.43,2,4,1,1,0.43,0,0,11.5,1,3.25,342,1
24,0,0,6.96,2,3,1,2,0.26,0,0,11.0,1,6.26,575,0
22,0,1,8.26,4,2,4,1,4.15,1,0,14.5,1,6.8,328,0
26,0,2,8.93,2,2,5,0,0.12,0,0,14.0,1,5.01,151,2
26,1,2,8.27,2,1,4,1,0.3,1,1,12.5,1,7.14,477,2
31,0,1,7.52,2,2,2,1,1.71,1,0,10.5,1,3.21,462,1
21,0,1,8.45,1,3,4,1,0.94,0,0,15.5,1,3.26,524,0
29,0,1,7.33,1,6,1,0,4.19,0,0,14.0,1,8.76,561,0
32,0,1,7.82,3,7,5,0,2.65,1,0,25.0,0,5.52,451,2
31,1,1,7.39,0,4,5,0,1.62,0,1,18.0,0,3.89,403,1
26,0,1,7.94,3,2,1,1,3.86,1,0,8.5,0,6.66,445,1
33,0,1,8.45,0,3,4,1,0.37,0,0,15.5,1,8.39,485,2
23,0,1,9.49,0,2,3,3,1.18,0,0,14.5,0,4.51,394,2
24,0,1,7.89,1,5,3,1,2.37,0,0,17.5,0,7.36,389,0
32,0,0,7.37,0,2,5,1,4.25,1,0,16.5,1,3.6,584,1
31,0,1,7.44,4,3,4,3,3.46,0,0,18.5,0,3.36,491,1
24,0,0,8.35,1,0,5,0,2.25,1,0,11.0,1,6.72,373,0
23,0,2,7.09,1,1,4,0,1.64,1,1,11.0,0,6.78,388,2
30,0,2,7.51,0,1,2,0,1.85,0,1,6.0,0,7.46,468,0
23,0,2,9.22,1,4,2,0,0.05,0,1,12.0,0,8.08,257,0
23,0,0,7.47,1,8,2,1,1.89,1,0,22.5,1,9.83,486,2
24,1,1,7.15,2,3,1,3,4.33,1,0,13.5,0,6.61,442,1
27,2,0,7.41,1,3,4,1,1.34,0,0,15.5,1,5.26,441,0
24,0,1,8.17,1,4,1,0,3.67,0,0,10.0,0,8.57,388,0
29,0,1,8.06,1,5,4,0,1.64,0,0,18.0,1,4.9,397,0
21,0,1,8.65,1,4,1,0,0.85,1,0,11.0,0,6.07,469,2
28,1,2,7.42,0,1,5,0,0.37,2,0,14.0,0,3.55,290,1
27,0,2,4.73,1,3,4,1,0.51,1,0,16.5,0,3.18,443,0
22,2,2,7.54,0,3,2,0,2.18,0,1,10.0,0,9.74,435,0
28,0,2,6.42,0,4,4,0,3.21,0,0,16.0,1,8.85,481,0
21,0,1,7.7,1,2,4,1,5.21,0,0,13.5,1,7.87,347,0
31,1,0,7.77,1,3,3,0,2.85,0,0,12.0,1,5.86,479,0
32,0,1,7.74,0,7,5,2,4.27,1,0,28.0,1,4.21,493,0
29,1,1,7.39,0,4,2,1,0.91,2,1,15.5,1,4.1,526,2
29,0,2,8.17,1,4,3,1,0.4,0,1,15.5,1,4.75,457,1
22,1,1,6.45,1,5,3,0,0.94,0,1,16.0,1,6.84,403,2
27,0,2,6.96,0,3,4,2,1.0,2,1,19.0,1,8.0,484,2
34,0,0,7.51,0,1,4,1,0.25,0,0,11.5,1,7.62,519,0
30,0,1,6.84,1,2,1,1,1.12,0,0,7.5,1,4.96,401,2
23,0,2,6.46,2,4,4,2,0.96,0,0,19.0,1,9.68,197,1
27,0,1,8.48,0,3,1,1,1.45,0,0,9.5,1,8.17,505,1
32,0,0,7.83,1,3,2,0,0.71,0,1,10.0,1,6.88,558,0
30,0,2,8.37,1,4,5,1,1.1,1,0,20.5,0,7.28,365,0
29,0,1,7.28,1,4,4,0,0.92,0,0,16.0,1,5.94,563,2
24,0,2,7.74,3,1,1,1,0.43,0,1,5.5,1,4.73,503,0
32,1,0,7.04,1,5,5,1,1.36,1,0,22.5,1,5.49,261,1
21,0,1,8.33,4,6,3,1,1.6,0,0,19.5,1,8.3,599,1
22,0,0,7.71,3,5,3,1,1.32,1,0,18.5,1,3.1,534,0
21,0,2,8.5,0,4,3,0,1.07,1,0,15.0,1,3.81,421,1
34,1,0,8.44,1,3,1,2,1.5,1,0,12.0,0,3.32,562,0
32,2,1,6.79,1,7,1,0,1.73,1,0,17.0,1,3.29,504,1
25,1,2,6.96,3,4,2,2,0.11,1,0,16.0,1,8.99,362,2
25,0,1,7.4,1,1,4,1,0.63,0,0,11.5,0,7.93,526,0
31,0,1,7.52,1,0,2,2,1.69,0,0,7.0,0,6.32,349,1
27,0,0,8.34,0,2,1,1,4.18,0,0,7.5,1,3.68,439,0
29,0,1,5.91,2,2,5,3,2.47,0,0,18.5,1,6.44,475,2
29,1,1,8.55,1,2,5,1,2.51,0,1,15.5,1,6.31,595,0
23,1,0,7.62,2,1,4,0,0.3,0,0,10.0,1,4.21,507,1
23,1,2,6.55,1,3,4,1,0.97,1,0,16.5,1,6.04,375,0
23,0,0,7.79,1,2,2,0,0.35,0,0,8.0,1,5.79,244,0
24,0,0,7.09,2,3,1,0,0.63,0,0,8.0,1,7.31,424,1
